;Ai;Ci;Ria
SFH_A_Var1;1.46;3.11;1.21
SFH_A_Var2;1.44;3.16;3.75
SFH_A_Var3;1.44;3.25;9.33
SFH_B_Var1;1.12;2.35;1.9
SFH_B_Var2;1.12;2.84;4.79
SFH_B_Var3;1.12;3.03;11.54
SFH_C_Var1;2.63;3.8;1.11
SFH_C_Var2;3.41;3.71;2.68
SFH_C_Var3;2.62;3.94;6.27
SFH_D_Var1;0.92;1.78;2.34
SFH_D_Var2;0.92;2.07;5.97
SFH_D_Var3;0.92;2.45;14.22
SFH_E_Var1;1.36;2.24;2.06
SFH_E_Var2;1.36;2.81;4.55
SFH_E_Var3;1.36;3.11;10.09
SFH_F_Var1;1.71;2.57;2.09
SFH_F_Var2;1.71;3.22;4.68
SFH_F_Var3;1.71;4.2;9.05
SFH_G_Var1;1.35;2.38;2.39
SFH_G_Var2;1.35;2.83;4.9
SFH_G_Var3;1.35;2.81;11.38
SFH_H_Var1;1.48;2.18;3.21
SFH_H_Var2;2.28;2.67;4.77
SFH_H_Var3;1.48;3.79;10.59
SFH_I_Var1;2.31;1.78;4.44
SFH_I_Var2;2.07;2.21;5.74
SFH_I_Var3;1.62;2.28;11.75
SFH_J_Var1;6.75;8;5.88
SFH_J_Var2;5.76;8;5.99
SFH_J_Var3;2.82;8;10.18
SFH_K_Var1;5.5;8;4.56
SFH_K_Var2;7.72;8;4.7
SFH_K_Var3;3.6;8;10.52
SFH_L_Var1;6.3;8;4.26
SFH_L_Var2;7.16;8;5.32
SFH_L_Var3;3.69;8;10.56
