;Ai;Ce;Ci;Rea;Rie
SFH_A_Var1;6.24;25.82;2.25;1.1;0.1
SFH_A_Var2;2.64;20.72;2.56;3.39;0.35
SFH_A_Var3;1.6;20.71;2.56;8;0.91
SFH_B_Var1;3.13;16.73;1.83;1.62;0.25
SFH_B_Var2;3.1;13.43;1.98;4.05;0.67
SFH_B_Var3;1.11;13.42;1.98;10.02;1.02
SFH_C_Var1;7.34;28.94;2.98;0.97;0.13
SFH_C_Var2;3.68;28.68;3.15;2.52;0.18
SFH_C_Var3;2.9;28.65;3.51;5.09;0.56
SFH_D_Var1;2.59;13.11;1.27;2.09;0.24
SFH_D_Var2;1.81;10.51;1.27;5.63;0.26
SFH_D_Var3;1.02;10.51;1.27;13.24;0.77
SFH_E_Var1;3.8;14.31;1.65;1.8;0.23
SFH_E_Var2;1.91;11.47;1.68;4.26;0.3
SFH_E_Var3;1.2;11.47;1.68;9.38;0.7
SFH_F_Var1;4.8;17.54;2.02;1.8;0.27
SFH_F_Var2;2.43;16.4;2.02;4.37;0.29
SFH_F_Var3;1.85;16.39;2.02;8.43;0.5
SFH_G_Var1;3.79;20.73;2.02;2.02;0.34
SFH_G_Var2;1.91;20.41;2.16;4.52;0.42
SFH_G_Var3;1.15;20.41;2.16;10.24;0.77
SFH_H_Var1;4.16;15.64;1.71;2.79;0.37
SFH_H_Var2;3.02;14.21;1.71;4.42;0.33
SFH_H_Var3;1.87;14.21;1.71;9.5;0.55
SFH_I_Var1;4.54;11.54;1.42;3.69;0.65
SFH_I_Var2;3.85;11.53;1.42;5.2;0.46
SFH_I_Var3;2.42;11.53;1.42;10.27;1
SFH_J_Var1;3.98;13.86;1.6;6.33;0.1
SFH_J_Var2;3.9;13.86;1.6;6.35;0.1
SFH_J_Var3;2.12;13.87;1.6;10.32;0.1
SFH_K_Var1;5.88;16.69;2.76;4.47;0.12
SFH_K_Var2;3.19;16.69;2.76;5.42;0.17
SFH_K_Var3;1.53;16.69;2.76;11.99;0.31
SFH_L_Var1;5.88;16.7;2.76;4.28;0.1
SFH_L_Var2;2.95;16.69;2.76;6.09;0.2
SFH_L_Var3;1.63;16.69;2.76;12.03;0.33
